logger,plot,date_started,date_uploaded,period,tail,hours
EL5742,1,2015-04-30,2015-11-04,7,,
EL5740,2,2015-04-30,2015-11-04,7,,
EL5739,1_2_C,2015-04-30,2015-11-04,7,,
EM6843,7,2015-04-30,2015-11-04,7,4587,
EM20068,8,2015-04-30,2015-11-04,7,4586,6
EM20085,7_8_C,2015-04-30,2015-11-04,7,4583,
EM20069,11,2015-04-30,2015-11-04,7,2723,
EM20086,12,2015-04-30,2015-11-04,7,2215,
EM20070,11_12_C,2015-04-30,2015-11-04,7,3806,
EM6845,15,2015-04-30,2015-11-04,7,3474,
EL5743,16,2015-04-30,2015-11-04,7,,
EM20067,15_16_C,2015-04-30,2015-11-04,7,4586,
