Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
04/30/15 12:00 PM	15.5	0.056	0.003	0.084	0.063
04/30/15 02:00 PM	18.2	0.065	0.009	0.085	0.062
04/30/15 04:00 PM	19.9	0.066	0.012	0.085	0.062
04/30/15 06:00 PM	20.2	0.060	0.009	0.086	0.062
04/30/15 08:00 PM	17.7	0.052	0.003	0.086	0.063
04/30/15 10:00 PM	8.6	0.046	-0.003	0.087	0.063
05/01/15 12:00 AM	5.3	0.044	-0.003	0.087	0.062
05/01/15 02:00 AM	2.9	0.043	-0.002	0.086	0.062
05/01/15 04:00 AM	1.5	0.043	-0.002	0.085	0.062
05/01/15 06:00 AM	0.2	0.043	-0.002	0.085	0.061
05/01/15 08:00 AM	2.8	0.043	-0.002	0.084	0.061
05/01/15 10:00 AM	12.1	0.049	-0.001	0.084	0.062
05/01/15 12:00 PM	16.4	0.057	0.003	0.083	0.061
05/01/15 02:00 PM	20.0	0.060	0.006	0.083	0.060
05/01/15 04:00 PM	22.4	0.058	0.006	0.084	0.060
05/01/15 06:00 PM	23.1	0.051	0.003	0.084	0.061
05/01/15 08:00 PM	18.6	0.043	-0.005	0.085	0.061
05/01/15 10:00 PM	9.1	0.037	-0.012	0.085	0.061
05/02/15 12:00 AM	3.7	0.035	-0.012	0.085	0.061
05/02/15 02:00 AM	3.1	0.034	-0.010	0.084	0.060
05/02/15 04:00 AM	2.6	0.034	-0.009	0.084	0.060
05/02/15 06:00 AM	3.3	0.034	-0.009	0.083	0.060
05/02/15 08:00 AM	4.0	0.035	-0.009	0.083	0.060
05/02/15 10:00 AM	14.0	0.040	-0.008	0.083	0.060
05/02/15 12:00 PM	19.3	0.048	-0.003	0.083	0.059
05/02/15 02:00 PM	22.4	0.049	-0.002	0.083	0.059
05/02/15 04:00 PM	24.4	0.048	-0.002	0.083	0.059
05/02/15 06:00 PM	24.1	0.042	-0.006	0.083	0.059
05/02/15 08:00 PM	19.7	0.033	-0.013	0.083	0.059
05/02/15 10:00 PM	13.7	0.027	-0.018	0.083	0.059
05/03/15 12:00 AM	12.0	0.026	-0.019	0.083	0.059
05/03/15 02:00 AM	9.9	0.025	-0.019	0.083	0.059
05/03/15 04:00 AM	7.2	0.024	-0.019	0.083	0.058
05/03/15 06:00 AM	7.3	0.024	-0.019	0.083	0.058
05/03/15 08:00 AM	7.6	0.024	-0.019	0.083	0.058
05/03/15 10:00 AM	14.9	0.028	-0.016	0.082	0.057
05/03/15 12:00 PM	17.8	0.034	-0.014	0.082	0.057
05/03/15 02:00 PM	20.3	0.037	-0.011	0.082	0.057
05/03/15 04:00 PM	19.0	0.034	-0.013	0.081	0.056
05/03/15 06:00 PM	18.8	0.029	-0.014	0.082	0.057
05/03/15 08:00 PM	16.5	0.025	-0.019	0.082	0.057
05/03/15 10:00 PM	7.4	0.020	-0.025	0.082	0.058
05/04/15 12:00 AM	5.6	0.017	-0.025	0.082	0.057
05/04/15 02:00 AM	4.7	0.017	-0.025	0.082	0.057
05/04/15 04:00 AM	4.5	0.016	-0.025	0.081	0.057
05/04/15 06:00 AM	4.6	0.017	-0.025	0.081	0.056
