year,date,quad,ch1,ch2,ch3,ch4
2015,6/17/15,E1Q1,97.2,50.9,414.8,102
2015,6/17/15,E1Q2,141.8,58.4,552.9,135.3
2015,6/17/15,E1Q3,133.5,69.8,531.6,129.4
2015,6/17/15,E1Q4,129.4,66.4,577.5,141.9
2015,6/17/15,E1Q5,133.3,71.6,550.1,134.9
2015,6/17/15,E1Q6,201.8,109.3,618.6,152
2015,6/17/15,P7E1Q1,219.4,114.3,795.8,195.9
2015,6/17/15,P7E1Q2,205.6,108.8,717.2,177.2
2015,6/17/15,P7E1Q3,151.3,80.3,531.4,130.7
2015,6/17/15,P7E1Q4,267.8,140.9,831.1,203.1
2015,6/17/15,P10E1Q1,232.7,119.4,785.9,186.9
2015,6/17/15,P10E1Q2,240.7,119.7,1466.2,360.2
2015,6/17/15,P10E1Q3,220.7,112,1021,247.4
2015,6/17/15,P10E1Q4,260.7,133.8,1104.8,267.8
2015,6/17/15,X1,167.2,85.4,736.8,175.3
2015,6/17/15,X2,194.2,102.9,538.5,128.1
2015,6/17/15,X5,63.9,33.1,243,59
2015,6/17/15,X6,138.2,71.1,721.8,172.2
2015,6/17/15,X7,185.5,94.7,832,200
2015,6/17/15,X8,287.2,153.5,876.1,208
2015,6/17/15,X11,248.2,130.3,769.4,184.4
2015,6/17/15,X12,198.4,103.1,924,224.5
2015,6/17/15,X13,146.5,77.6,479.3,112.9
2015,6/17/15,X14,152.8,78.3,665.2,162.7
2015,6/17/15,X15,233,123.5,589.9,140.1
2015,6/17/15,X16,172.4,86.4,783.2,189.2
2015,6/17/15,X17,207.5,106.7,662.5,157.5
2015,6/17/15,X18,178.8,91.6,741.3,177
2015,6/17/15,X19,207.7,108.2,836.8,200.7
2015,6/17/15,X20,216.2,114.3,671.3,160.1
2015,6/17/15,P1,120.7,63.5,349.4,84.9
2015,6/17/15,P2,142.4,75.1,385.2,94.3
2015,6/17/15,P3,177.3,92.9,457.3,112.2
2015,6/17/15,P4,406.5,210.8,1156.9,279.4
2015,6/18/15,P5,228.7,118.8,914.2,223.4
2015,6/18/15,P6,155.2,78.6,555.7,137.8
2015,6/17/15,P7,81.5,41.9,331,81.5
2015,6/17/15,P8,73,38,315.8,78.7
2015,6/17/15,P9,81.1,45.7,305.2,76.1
2015,6/17/15,P10,268.7,138.9,1015.5,250.7
2015,6/17/15,P11,197.2,91.1,710.4,176.7
2015,6/17/15,P12,87.4,446,367.9,91.5
2015,6/17/15,P13,249,123.9,863.6,212.4
2015,6/17/15,P14,86.3,44,264.9,65.9
2015,6/17/15,P15,61.4,31.5,303,78.2
2015,6/17/15,P16,99.9,51.5,540.4,137
2015,6/17/15,P17,135.7,70.4,610.5,152.9
2015,6/17/15,P18,128,68.6,454.1,112.6
2015,6/17/15,P19,88.5,46.2,362.3,92.2
2015,6/17/15,P20,83.7,44.4,283.6,72.2
2015,6/17/15,P21,85.8,45.3,255.7,64
2015,6/17/15,P22,75.8,39.1,315.8,80
2015,6/17/15,P23,61.5,31.4,277.6,69.9
2015,6/17/15,P24,105.6,54.3,345.8,86.9
2015,6/18/15,P25,58.2,29.1,336.1,87.8
2015,6/18/15,P26,70.7,36.9,233.7,59.7
2015,6/18/15,P27,72,36.7,240.6,61.9
2015,6/18/15,P28,42.9,22.2,185.6,48.7
2015,6/18/15,P29,44.2,22.2,189.3,49.8
2015,6/18/15,P30,47.8,24.8,243.7,62.9
2015,6/18/15,P31,130.5,67.4,376.7,93.6
2015,6/18/15,P32,106,56.8,403.9,101.6
2015,6/18/15,P33,224.9,119.6,798.5,198
2015,6/18/15,P34,166.9,86.8,624.9,157.7
2015,6/18/15,P35,51.2,26.1,226.9,58.8
2015,6/18/15,P36,252.5,135.7,1047.5,263.4
2015,6/17/15,P37,221.1,111.4,765.8,187.4
2015,6/17/15,P38,186,96.2,843.9,208.6
2015,6/17/15,P39,211.3,111.2,838.3,203.2
2015,6/17/15,P40,129.3,66.8,464,113.5
2015,6/17/15,P41,159.1,83.5,660.2,160.5
2015,6/17/15,P42,166.3,86.1,592.8,143.4
2015,6/17/15,P43,188.3,98.8,643.9,155.7
2015,6/17/15,P44,181,92.5,812.2,198.7
2015,6/17/15,P45,157.7,81.7,542.2,132.6
2015,6/17/15,P46,105,52.9,371.5,91.9
2015,6/17/15,P47,128.4,66.4,506,124.8
2015,6/17/15,P48,99.1,50.6,343.8,85.2
