year,quad,Plot,ch1,ch2,ch3,ch4,
2009,P10E1Q1,1,267,143,768,184,
2009,P10E1Q1,2,268,141,839,201,
2009,P10E1Q1,3,225,116,840,205,
2009,P10E1Q1,4,239,124,752,180,
2009,P10E1Q4,1,212,105,752,181,
2009,P10E1Q4,2,180,89,688,166,
2009,P10E1Q4,3,220,112,814,196,
2009,P10E1Q4,4,250,131,908,220,
2009,P10E1Q3,1,179,92,751,182,
2009,P10E1Q3,2,202,102,675,164,
2009,P10E1Q3,3,190,93,823,200,
2009,P10E1Q3,4,177,88,722,172,
2009,P10E1Q2,1,198,97,1027,242,
2009,P10E1Q2,2,266,132,1403,347,
2009,P10E1Q2,3,280,139,1259,309,
2009,P10E1Q2,4,181,88,592,143,
2009,P10E1Q2,4,277,142,977,239,*with more sun
2009,E1Q1,1,231,116,839,205,
2009,E1Q1,2,242,127,802,195,
2009,E1Q1,3,170,84,1094,265,
2009,E1Q1,4,204,101,1145,284,
2009,E1Q6,1,316,163,1029,250,
2009,E1Q6,2,325,167,957,235,
2009,E1Q6,3,240,120,982,241,
2009,E1Q6,4,268,133,1087,267,
2009,E1Q3,1,210,101,828,202,
2009,E1Q3,2,207,101,819,202,
2009,E1Q3,3,234,122,821,206,
2009,E1Q3,4,197,99,741,180,
2009,E1Q4,1,211,105,843,206,
2009,E1Q4,2,221,107,1240,303,
2009,E1Q4,3,211,108,737,180,
2009,E1Q4,4,237,120,815,200,
2009,E1Q5,1,184,89,918,223,
2009,E1Q5,2,178,87,1223,301,
2009,E1Q5,3,167,82,949,234,
2009,E1Q5,4,188,92,1343,334,
2009,E1Q2,1,193,98,976,241,
2009,E1Q2,2,190,93,933,230,
2009,E1Q2,3,184,88,1118,284,
2009,E1Q2,4,224,121,785,190,
2009,P7E1Q3,1,123,63,567,138,
2009,P7E1Q3,2,155,74,1256,316,
2009,P7E1Q3,3,129,64,587,143,
2009,P7E1Q3,4,137,67,729,180,
2009,P7E1Q2,1,189,103,544,132,
2009,P7E1Q2,2,159,86,533,129,
2009,P7E1Q2,3,157,80,649,162,
2009,P7E1Q2,4,169,87,699,175,
2009,P7E1Q1,1,154,79,673,165,
2009,P7E1Q1,2,159,82,587,143,
2009,P7E1Q1,3,154,77,614,149,
2009,P7E1Q1,4,167,85,578,141,
2009,P7E1Q4,1,134,71,561,138,
2009,P7E1Q4,2,140,72,548,133,
2009,P7E1Q4,3,161,84,600,147,
2009,P7E1Q4,4,166,87,576,143,
