#### Soil probe calibration 2015-04-29,,,,,,,
#### treatments: ,,,,,,,
#### H: 19 l per m2,,,,,,,
#### M: 9.5 l per m2,,,,,,,
#### L: 4.75 l per m2,,,,,,,
#### VL: 2.36 l per m2 ,,,,,,,
#### N:  0 l per m2 ,,,,,,,
#### Added water to 0.0625 m2 plot.  Measured with soil probe 3 hrs later at four positions within 10 cm of each other in center of plot.  Took four calibration samples from same positions and bulked in one bag per plot. ,,,,,,,
plot,position,treatment,pre-treat,rep1,rep2,rep3,rep4
1,3,M,3.8,14.2,14.7,8,11.3
2,6,H,2.8,19.1,17.5,15.4,13.3
3,9,N,3.7,5,2.7,1.9,3.5
4,12,VL,3.1,8,3.2,8.4,8.8
5,15,L,1.8,9.6,9.2,13.1,10
6,18,N,1.5,3.7,4,7,5.6
7,21,H,3.1,2.8,25.4,18.5,20.8
8,24,M,4.4,11.2,15.5,11.4,8
9,27,H,0.9,16.4,20.3,14.9,13.1
10,30,M,3,8.7,9.7,7.8,10.4
11,33,M,6.4,9.4,6.7,14.4,15.2
12,36,L,1.8,5,7.8,15.7,9.2
13,39,M,5.6,10.2,9.7,9.8,7.1
14,42,M,-2.5,15,15.7,9.1,16.1
15,45,N,1.3,0.3,1.2,0.2,-0.4
16,48,VL,3.8,5.2,11.1,12.4,4.8
17,51,H,5,4,19.3,10.5,6.7
18,54,N,4.6,5.5,6.5,5.1,3.8
19,57,VL,4.8,5.3,4.3,4.5,-1.8
20,60,L,4.7,7,9.4,8.5,7.3
21,63,H,7.4,17,18.7,8.3,16.7
22,66,VL,0,4.9,8.7,7.6,6.3
23,69,L,-3.8,-0.1,-1.9,0.9,1.5
24,72,N,6,4.6,4.8,3.7,3.6
25,75,VL,3,3.9,4.3,6.8,5.4
26,78,H,4.6,12.7,9,8.1,11.2
27,81,N,7.1,7,6.5,7.1,6.1
28,84,VL,0.2,-2.8,5.3,5.6,4
29,87,L,5.5,5.6,7,10.5,3.6
30,90,M,9.7,13.8,1.9,11.9,16.8
