### 2012-06-06 Soil Moisture Spot Monitoring ,
### collected with decagon probe and monitoring unit at two locations per plot,
,
Plot,PCT 
7,16
7,4
8,14.1
8,8.2
7-8-C,10
7-8-C,7.3
15,8.1
15,7.8
16,14.1
16,13.7
15-16-C,10.8
15-16-C,11.1
17,12.5
17,11.5
18,19.2
18,13.3
17-18-C,16.3
17-18-C,11.9
11,13.9
11,11.2
12,16.1
12,17.9
11-12-C,10.3
11-12-C,17.1
1,18.2
1,8
2,12
2,5.7
1-2-C,8.1
1-2-C,15.1
13,19.3
13,12.6
14,20
14,20.6
13-14-C,15.3
13-14-C,17.3
5,4.6
5,15.3
6,14.3
6,18.4
5-6-C,14.6
5-6-C,16.1
19,15.9
19,14.8
20,6.4
20,3.4
19-20-C,12.3
19-20-C,10.6
