Measurement Time	Port 1 ECT/RT-1 Temperature Temp °C	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
10/12/12 02:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/12/12 04:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/12/12 06:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/12/12 08:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/12/12 10:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 12:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 02:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 04:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 06:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 08:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 10:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 12:00 PM	-3.7	-0.218	-0.191	-0.192	-0.181
10/13/12 02:00 PM	15.8	-0.009	0.019	0.039	0.062
10/13/12 04:00 PM	17.8	-0.008	0.019	0.042	0.063
10/13/12 06:00 PM	17.1	-0.008	0.020	0.043	0.063
10/13/12 08:00 PM	11.5	-0.011	0.020	0.040	0.064
10/13/12 10:00 PM	9.9	-0.014	0.020	0.038	0.064
10/14/12 12:00 AM	6.2	-0.015	0.020	0.035	0.064
10/14/12 02:00 AM	1.7	-0.017	0.020	0.033	0.063
10/14/12 04:00 AM	0.6	-0.019	0.019	0.032	0.062
10/14/12 06:00 AM	-0.2	-0.019	0.019	0.031	0.062
10/14/12 08:00 AM	-0.6	-0.019	0.018	0.030	0.061
10/14/12 10:00 AM	5.8	-0.019	0.018	0.030	0.061
10/14/12 12:00 PM	13.3	-0.014	0.018	0.033	0.061
10/14/12 02:00 PM	16.3	-0.008	0.019	0.039	0.061
10/14/12 04:00 PM	17.3	-0.006	0.019	0.043	0.062
10/14/12 06:00 PM	16.8	-0.008	0.020	0.042	0.063
10/14/12 08:00 PM	10.5	-0.012	0.020	0.039	0.063
