logger,plot,date_started,date_uploaded,period,tail,hours
EL5742,1,2012-10-12,2013-05-13,2,,
EL5740,2,2012-10-12,2013-05-13,2,,
EL5739,1_2_C,2012-10-12,2013-05-13,2,,
EL5743,7,2012-10-12,2013-05-13,2,,
EM20068,8,2012-10-12,2013-05-13,2,,
EM20085,7_8_C,2012-10-12,2013-05-13,2,,
EM20069,11,2012-10-12,2013-05-13,2,,
EM20086,12,2012-10-12,2013-05-13,2,,
EM20070,11_12_C,2012-10-12,2013-05-13,2,,
EL5741,15,2012-10-12,2013-05-13,2,,
EL5743,16,2012-10-12,2013-05-13,2,,
EM20067,15_16_C,2012-10-12,2013-05-13,2,,
