Measurement Time	Port 1 ECT/RT-1 Temperature Temp °C	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
04/07/12 08:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/07/12 10:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 12:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 02:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 04:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 06:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 08:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 10:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 12:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 02:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 04:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 06:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 08:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 10:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 12:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 02:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 04:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 06:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 08:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 10:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 12:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 02:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 04:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 06:00 PM	19.3	* * * 	* * * 	* * * 	* * * 
04/09/12 08:00 PM	14.8	0.077	0.093	0.179	0.143
04/09/12 10:00 PM	5.9	0.076	0.094	0.180	0.145
04/10/12 12:00 AM	5.8	0.076	0.096	0.179	0.145
04/10/12 02:00 AM	5.1	0.075	0.096	0.179	0.146
04/10/12 04:00 AM	2.9	0.075	0.097	0.179	0.146
04/10/12 06:00 AM	1.8	0.075	0.098	0.179	0.146
04/10/12 08:00 AM	3.2	0.075	0.098	0.178	0.146
04/10/12 10:00 AM	14.2	0.076	0.098	0.175	0.145
04/10/12 12:00 PM	20.7	0.077	0.098	0.175	0.144
04/10/12 02:00 PM	22.8	0.080	0.098	0.177	0.144
04/10/12 04:00 PM	24.6	0.082	0.098	0.180	0.145
04/10/12 06:00 PM	24.6	0.084	0.098	0.181	0.145
04/10/12 08:00 PM	19.8	0.083	0.099	0.181	0.147
04/10/12 10:00 PM	6.0	0.081	0.100	0.181	0.149
04/11/12 12:00 AM	3.0	0.079	0.100	0.181	0.149
04/11/12 02:00 AM	5.5	0.078	0.100	0.179	0.149
04/11/12 04:00 AM	6.6	0.077	0.100	0.178	0.148
04/11/12 06:00 AM	4.1	0.077	0.100	0.178	0.149
04/11/12 08:00 AM	6.1	0.077	0.100	0.176	0.147
04/11/12 10:00 AM	15.0	0.077	0.100	0.174	0.147
04/11/12 12:00 PM	20.6	0.079	0.100	0.174	0.146
