plot,period,Port 1,Port 2,Port 3,Port 4,Port 5
1,1,air,5E,25E,5W,25W
1,2,air,5E,25E,5W,25W
1,3,air,5E,5W,25E,25W
1,4,air,5E,5W,25E,25W
1,5,air,5E,5W,25E,25W
1,6,air,5E,5W,25E,25W
1,7,air,5E,5W,25E,25W
1,8,air,5E,25E,5W,25W
2,1,air,5E,25E,5W,25W
2,2,air,5E,25E,5W,25W
2,3,air,5E,5W,25E,25W
2,4,air,5E,5W,25E,25W
2,5,air,5E,5W,25E,25W
2,6,air,5E,5W,25E,25W
2,7,air,5E,5W,25E,25W
2,8,air,5E,5W,25E,25W
7,1,air,5E,25E,5W,25W
7,2,air,5E,25E,5W,25W
7,3,air,5E,5W,25E,25W
7,4,air,5E,5W,25E,25W
7,5,air,5E,5W,25E,25W
7,6,air,5E,5W,25E,25W
7,7,air,5E,5W,25E,25W
7,8,air,5E,5W,25E,25W
8,1,air,5E,5W,25E,25W
8,2,air,5E,5W,25E,25W
8,3,air,5E,5W,25E,25W
8,4,air,5E,5W,25E,25W
8,5,air,5E,5W,25E,25W
8,6,air,5E,5W,25E,25W
8,7,air,5E,5W,25E,25W
8,8,air,5E,5W,25E,25W
11,1,air,5E,5W,25E,25W
11,2,air,5E,5W,25E,25W
11,3,air,5E,5W,25E,25W
11,4,air,5E,5W,25E,25W
11,5,air,5E,5W,25E,25W
11,6,air,5E,5W,25E,25W
11,7,air,5E,5W,25E,25W
11,8,air,5E,5W,25E,25W
12,1,air,5E,5W,25E,25W
12,2,air,5E,5W,25E,25W
12,3,air,5E,5W,25E,25W
12,4,air,5E,5W,25E,25W
12,5,air,5E,5W,25E,25W
12,6,air,5E,5W,25E,25W
12,7,air,5E,5W,25E,25W
12,8,air,5E,5W,25E,25W
15,1,air,5E,25W,5W,25E
15,2,air,5E,25W,5W,25E
15,3,air,5E,5W,25E,25W
15,4,air,5E,5W,25E,25W
15,5,air,5E,5W,25E,25W
15,6,air,5E,5W,25E,25W
15,7,air,5E,5W,25E,25W
15,8,air,5E,5W,25E,25W
16,1,air,5E,25E,5W,25W
16,2,air,5E,25E,5W,25W
16,3,air,5E,5W,25E,25W
16,4,air,5E,5W,25E,25W
16,5,air,5E,5W,25E,25W
16,6,air,5E,5W,25E,25W
16,7,air,5E,5W,25E,25W
16,8,air,25E,25W,5E,5W
1_2_C,1,air,5W,25E,5E,25W
1_2_C,2,air,5W,25E,5E,25W
1_2_C,3,air,5E,5W,25E,25W
1_2_C,4,air,5E,5W,25E,25W
1_2_C,5,air,5E,5W,25E,25W
1_2_C,6,air,5E,5W,25E,25W
1_2_C,7,air,5E,5W,25E,25W
1_2_C,8,air,25E,25W,5E,5W
11_12_C,1,air,5E,5W,25E,25W
11_12_C,2,air,5E,5W,25E,25W
11_12_C,3,air,5E,5W,25E,25W
11_12_C,4,air,5E,5W,25E,25W
11_12_C,5,air,5E,5W,25E,25W
11_12_C,6,air,5E,5W,25E,25W
11_12_C,7,air,5E,5W,25E,25W
11_12_C,8,air,5E,5W,25E,25W
15_16_C,1,air,5E,25E,5W,25W
15_16_C,2,air,5E,25E,5W,25W
15_16_C,3,air,5E,5W,25E,25W
15_16_C,4,air,5E,5W,25E,25W
15_16_C,5,air,5E,5W,25E,25W
15_16_C,6,air,5E,5W,25E,25W
15_16_C,7,air,5E,5W,25E,25W
15_16_C,8,air,5E,5W,25E,25W
7_8_C,1,air,5E,5W,25E,25W
7_8_C,2,air,5E,5W,25E,25W
7_8_C,3,air,5E,5W,25E,25W
7_8_C,4,air,5E,5W,25E,25W
7_8_C,5,air,5E,5W,25E,25W
7_8_C,6,air,5E,5W,25E,25W
7_8_C,7,air,5E,5W,25E,25W
7_8_C,8,air,5E,5W,25E,25W
