Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
04/13/14 12:00 PM	3.7	0.077	0.078	0.105	0.123
04/13/14 02:00 PM	5.8	0.080	0.080	0.106	0.130
04/13/14 04:00 PM	7.2	0.083	0.082	0.106	0.131
04/13/14 06:00 PM	7.6	0.083	0.082	0.106	0.131
04/13/14 08:00 PM	4.3	0.079	0.078	0.106	0.131
04/13/14 10:00 PM	-4.0	0.076	0.076	0.106	0.130
04/14/14 12:00 AM	-5.8	0.073	0.074	0.106	0.130
04/14/14 02:00 AM	-9.0	0.072	0.072	0.105	0.129
04/14/14 04:00 AM	-9.5	0.071	0.072	0.105	0.128
04/14/14 06:00 AM	-10.4	0.070	0.071	0.105	0.128
04/14/14 08:00 AM	-8.8	0.069	0.070	0.105	0.128
04/14/14 10:00 AM	0.9	0.071	0.072	0.105	0.128
04/14/14 12:00 PM	5.0	0.074	0.076	0.105	0.128
04/14/14 02:00 PM	8.3	0.078	0.079	0.105	0.128
04/14/14 04:00 PM	10.7	0.081	0.081	0.105	0.129
04/14/14 06:00 PM	12.6	0.082	0.081	0.105	0.129
04/14/14 08:00 PM	11.3	0.078	0.077	0.106	0.130
04/14/14 10:00 PM	1.6	0.074	0.074	0.106	0.129
04/15/14 12:00 AM	1.0	0.072	0.073	0.106	0.130
04/15/14 02:00 AM	2.9	0.072	0.072	0.106	0.129
04/15/14 04:00 AM	0.7	0.072	0.072	0.105	0.129
04/15/14 06:00 AM	0.3	0.071	0.071	0.105	0.128
04/15/14 08:00 AM	0.5	0.070	0.071	0.105	0.128
04/15/14 10:00 AM	5.0	0.071	0.072	0.105	0.128
04/15/14 12:00 PM	7.6	0.072	0.072	0.105	0.128
04/15/14 02:00 PM	11.3	0.075	0.075	0.105	0.129
04/15/14 04:00 PM	14.3	0.077	0.077	0.105	0.129
04/15/14 06:00 PM	13.3	0.077	0.077	0.105	0.129
04/15/14 08:00 PM	8.3	0.074	0.074	0.105	0.129
04/15/14 10:00 PM	1.9	0.071	0.071	0.105	0.129
04/16/14 12:00 AM	0.8	0.070	0.070	0.105	0.129
04/16/14 02:00 AM	-2.6	0.068	0.068	0.105	0.128
04/16/14 04:00 AM	-3.5	0.067	0.067	0.105	0.128
04/16/14 06:00 AM	-8.5	0.066	0.066	0.105	0.127
04/16/14 08:00 AM	-5.4	0.066	0.066	0.104	0.127
04/16/14 10:00 AM	2.9	0.067	0.068	0.104	0.128
04/16/14 12:00 PM	8.2	0.071	0.072	0.104	0.128
04/16/14 02:00 PM	10.4	0.073	0.073	0.048	0.128
04/16/14 04:00 PM	12.4	0.075	0.075	* * * 	0.128
04/16/14 06:00 PM	13.2	0.076	0.074	* * * 	0.128
04/16/14 08:00 PM	10.0	0.072	0.071	* * * 	0.128
04/16/14 10:00 PM	5.5	0.068	0.068	-0.219	0.128
04/17/14 12:00 AM	1.0	0.066	0.066	-0.189	0.128
04/17/14 02:00 AM	-2.4	0.066	0.066	-0.177	0.127
04/17/14 04:00 AM	-2.9	0.065	0.065	-0.142	0.127
04/17/14 06:00 AM	-3.0	0.064	0.064	-0.143	0.126
04/17/14 08:00 AM	-2.5	0.064	0.064	-0.139	0.126
04/17/14 10:00 AM	6.5	0.065	0.066	-0.162	0.127
04/17/14 12:00 PM	11.2	0.068	0.069	-0.220	0.127
04/17/14 02:00 PM	13.4	0.071	0.070	* * * 	0.127
04/17/14 04:00 PM	16.4	0.072	0.072	* * * 	0.128
04/17/14 06:00 PM	17.5	0.072	0.071	* * * 	0.128
04/17/14 08:00 PM	15.7	0.069	0.068	* * * 	0.128
04/17/14 10:00 PM	11.3	0.066	0.065	* * * 	0.129
04/18/14 12:00 AM	7.2	0.064	0.063	-0.152	0.128
04/18/14 02:00 AM	6.2	0.064	0.063	-0.142	0.128
04/18/14 04:00 AM	6.7	0.063	0.062	-0.104	0.128
04/18/14 06:00 AM	6.9	0.063	0.062	-0.080	0.128
04/18/14 08:00 AM	6.7	0.063	0.062	-0.123	0.128
04/18/14 10:00 AM	5.5	0.062	0.062	-0.156	0.128
04/18/14 12:00 PM	6.8	0.063	0.062	-0.175	0.128
04/18/14 02:00 PM	13.2	0.066	0.065	* * * 	0.128
04/18/14 04:00 PM	16.2	0.066	0.066	-0.213	0.128
04/18/14 06:00 PM	17.8	0.066	0.066	* * * 	0.128
04/18/14 08:00 PM	13.7	0.064	0.064	-0.184	0.128
04/18/14 10:00 PM	6.7	0.060	0.061	0.045	0.128
04/19/14 12:00 AM	5.7	0.060	0.060	0.217	0.128
04/19/14 02:00 AM	4.9	0.059	0.060	0.268	0.128
04/19/14 04:00 AM	2.8	0.058	0.059	0.283	0.127
04/19/14 06:00 AM	-0.7	0.057	0.058	0.338	0.126
04/19/14 08:00 AM	-1.7	0.057	0.058	0.380	0.126
04/19/14 10:00 AM	8.2	0.059	0.060	0.268	0.126
04/19/14 12:00 PM	13.4	0.062	0.064	0.123	0.127
04/19/14 02:00 PM	16.7	0.065	0.065	-0.072	0.127
04/19/14 04:00 PM	18.4	0.066	0.066	-0.184	0.127
04/19/14 06:00 PM	19.2	0.065	0.064	* * * 	0.128
04/19/14 08:00 PM	17.0	0.061	0.060	-0.158	0.128
04/19/14 10:00 PM	7.6	0.056	0.057	0.103	0.128
04/20/14 12:00 AM	3.5	0.055	0.055	0.182	0.128
04/20/14 02:00 AM	2.6	0.054	0.054	0.189	0.128
04/20/14 04:00 AM	4.1	0.054	0.054	0.199	0.128
04/20/14 06:00 AM	2.6	0.054	0.054	0.270	0.127
04/20/14 08:00 AM	4.1	0.054	0.054	0.254	0.127
04/20/14 10:00 AM	11.2	0.056	0.056	0.146	0.127
04/20/14 12:00 PM	16.3	0.060	0.059	-0.052	0.127
04/20/14 02:00 PM	18.3	0.061	0.060	-0.202	0.127
04/20/14 04:00 PM	19.4	0.061	0.061	* * * 	0.127
04/20/14 06:00 PM	19.5	0.060	0.060	* * * 	0.128
04/20/14 08:00 PM	16.6	0.056	0.055	-0.158	0.128
04/20/14 10:00 PM	7.8	0.051	0.050	0.054	0.128
04/21/14 12:00 AM	2.0	0.049	0.049	0.169	0.128
04/21/14 02:00 AM	1.0	0.049	0.049	0.178	0.128
04/21/14 04:00 AM	-0.1	0.049	0.048	0.184	0.127
04/21/14 06:00 AM	-1.4	0.049	0.048	0.194	0.126
04/21/14 08:00 AM	-0.1	0.048	0.048	0.189	0.126
04/21/14 10:00 AM	9.9	0.050	0.050	0.116	0.126
04/21/14 12:00 PM	14.7	0.054	0.054	-0.043	0.126
04/21/14 02:00 PM	17.7	0.055	0.054	-0.197	0.126
04/21/14 04:00 PM	19.8	0.056	0.054	* * * 	0.126
