logger,plot,date_started,date_uploaded,serial_number
1,1,2014-04-13,2014-09-15,EL5742
2,2,2014-04-13,2014-09-15,EL5740
1_2_C,1_2_C,2014-04-13,2014-09-15,EL5739
EM6843,7,2014-04-13,2014-09-15,EM6843
8,8,2014-04-13,2014-09-15,EM20068
7_8_C,7_8_C,2014-04-13,2014-09-15,EM20085
11,11,2014-04-13,2014-09-15,EM20069
12,12,2014-04-13,2014-09-15,EM20086
11_12_C,11_12_C,2014-04-13,2014-09-15,EM20070
15,15,2014-04-13,2014-09-15,EM6845
16,16,2014-04-13,2014-09-15,EL5743
15_16_C,15_16_C,2014-04-13,2014-09-15,EM20067
