Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 5TM Moisture/Temp m³/m³ VWC	Port 2 5TM Moisture/Temp °C Temp	Port 3 5TM Moisture/Temp m³/m³ VWC	Port 3 5TM Moisture/Temp °C Temp	Port 4 5TM Moisture/Temp m³/m³ VWC	Port 4 5TM Moisture/Temp °C Temp	Port 5 EC-5 Soil Moisture m³/m³ VWC
04/13/14 12:00 PM	-7.1	0.070	-10.0	0.058	-8.2	* * * 	* * * 	-0.153
04/13/14 02:00 PM	5.9	0.134	9.6	0.117	13.2	* * * 	* * * 	0.042
04/13/14 04:00 PM	7.5	0.136	11.6	0.119	15.2	* * * 	* * * 	0.042
04/13/14 06:00 PM	8.4	0.137	12.8	0.118	14.9	* * * 	* * * 	0.042
04/13/14 08:00 PM	6.7	0.136	11.9	0.116	12.3	* * * 	* * * 	0.042
04/13/14 10:00 PM	-3.4	0.134	9.3	0.114	8.7	* * * 	* * * 	0.042
04/14/14 12:00 AM	-5.7	0.132	7.1	0.112	6.3	* * * 	* * * 	0.042
04/14/14 02:00 AM	-8.1	0.130	5.6	0.110	4.4	* * * 	* * * 	0.042
04/14/14 04:00 AM	-9.1	0.129	4.4	0.109	3.2	* * * 	* * * 	0.041
04/14/14 06:00 AM	-10.1	0.128	3.4	0.108	2.0	* * * 	* * * 	0.041
04/14/14 08:00 AM	-7.2	0.127	2.7	0.107	1.2	* * * 	* * * 	0.040
04/14/14 10:00 AM	6.0	0.126	3.0	0.107	3.0	* * * 	* * * 	0.041
04/14/14 12:00 PM	8.5	0.128	5.5	0.112	9.2	* * * 	* * * 	0.040
04/14/14 02:00 PM	10.9	0.132	9.4	0.116	14.5	* * * 	* * * 	0.040
04/14/14 04:00 PM	13.8	0.135	12.6	0.118	17.3	* * * 	* * * 	0.041
04/14/14 06:00 PM	17.4	0.137	14.3	0.118	17.2	* * * 	* * * 	0.041
04/14/14 08:00 PM	17.0	0.136	13.3	0.115	14.5	* * * 	* * * 	0.042
04/14/14 10:00 PM	1.9	0.134	10.8	0.113	10.9	* * * 	* * * 	0.042
04/15/14 12:00 AM	0.9	0.131	8.7	0.111	8.5	* * * 	* * * 	0.042
04/15/14 02:00 AM	2.8	0.130	7.8	0.110	7.7	* * * 	* * * 	0.042
04/15/14 04:00 AM	0.7	0.129	7.2	0.109	7.0	* * * 	* * * 	0.042
04/15/14 06:00 AM	0.3	0.129	6.5	0.108	6.3	* * * 	* * * 	0.042
04/15/14 08:00 AM	0.6	0.128	6.0	0.108	5.7	* * * 	* * * 	0.042
04/15/14 10:00 AM	6.1	0.128	6.2	0.107	6.4	* * * 	* * * 	0.042
04/15/14 12:00 PM	9.8	0.128	7.2	0.108	8.1	* * * 	* * * 	0.042
04/15/14 02:00 PM	14.2	0.129	9.2	0.110	11.5	* * * 	* * * 	0.042
04/15/14 04:00 PM	16.1	0.132	12.0	0.112	15.1	* * * 	* * * 	0.042
04/15/14 06:00 PM	14.5	0.133	12.9	0.112	15.2	* * * 	* * * 	0.042
04/15/14 08:00 PM	10.2	0.133	12.3	0.111	13.6	* * * 	* * * 	0.042
04/15/14 10:00 PM	2.0	0.130	10.2	0.108	10.2	* * * 	* * * 	0.042
04/16/14 12:00 AM	0.9	0.128	8.4	0.107	8.0	* * * 	* * * 	0.042
04/16/14 02:00 AM	-2.3	0.127	7.2	0.106	6.5	* * * 	* * * 	0.042
04/16/14 04:00 AM	-3.1	0.125	6.1	0.105	5.1	* * * 	* * * 	0.042
04/16/14 06:00 AM	-7.5	0.125	5.1	0.104	3.9	* * * 	* * * 	0.042
