logger,plot,date_started,date_uploaded,period,tail,hours
1,1,2013-11-09,2014-04-13,4,,0
2,2,2013-11-09,2014-04-13,4,,0
1_2_C,1_2_C,2013-11-09,2014-04-13,4,,0
EM6843,7,2013-11-09,2014-04-13,4,2151,6
8,8,2013-11-09,2014-04-13,4,2152,6
7_8_C,7_8_C,2013-11-09,2014-04-13,4,2152,6
11,11,2013-11-09,2014-04-13,4,2152,0
12,12,2013-11-09,2014-04-13,4,1362,0
11_12_C,11_12_C,2013-11-09,2014-04-13,4,2152,6
15,15,2013-11-09,2014-04-13,4,,
16,16,2013-11-09,2014-04-13,4,,
15_16_C,15_16_C,2013-11-09,2014-04-13,4,2513,
