"","mean","se_mean","sd","2.5%","10%","50%","90%","97.5%","n_eff","Rhat"
"beta_treat[1,1]",0.189162045011486,0.018244072882582,0.505576114822025,-0.890203556307367,-0.499020402838,0.243316129746495,0.800889507248404,1.05961318090456,767.943907586564,1.00109092219128
"beta_treat[1,2]",0.630847282816081,0.00604281862388626,0.25395308066617,0.128209870731729,0.313753045478672,0.631842534859629,0.956222628175687,1.13482298629609,1766.15108743723,0.999173679156275
"beta_treat[2,1]",0.0369328173390732,0.0181625413090709,0.487325172733109,-0.987247005390784,-0.657988134196071,0.0929551756502162,0.625313060330704,0.850066888390862,719.92036775191,1.00097881525599
"beta_treat[2,2]",0.487372279576662,0.005457184649024,0.21435053780012,0.0597758536198256,0.221657588390028,0.488004613472173,0.761990543578701,0.907501825460645,1542.80791189671,1.00067892266566
"beta_treat[3,1]",0.122063812444622,0.0181236698018045,0.485711586636706,-0.8889566272674,-0.568721615499848,0.181904685644063,0.71008901644694,0.92861891204887,718.231825455397,1.00115703220289
"beta_treat[3,2]",0.355246952433195,0.00515961397371415,0.222259059175319,-0.095144518929317,0.0778473273602639,0.354653475620141,0.633640454080661,0.809348304356054,1855.60067884924,0.999732475361634
"beta_mu[1]",0.098941701121499,0.0170928006434313,0.537788570143131,-0.992375685449504,-0.617872171231086,0.137701245010286,0.755053275385415,1.060376448313,989.912209116394,1.00015657656391
"beta_mu[2]",0.40666371822431,0.00903213346569681,0.389817699759406,-0.451678074098493,-0.0769827774822852,0.417960069996715,0.862098809359567,1.12500745525762,1862.69786194832,0.998904851405996
