year,rep,ch1,ch2,ch3,ch4,date
2016,1,292.5,154,964,225.2,6/27/16
2016,2,299,148.9,1003.2,236.8,6/27/16
2016,3,345.5,182.1,971.1,228,6/27/16
2016,4,281.1,149.2,820.4,192.6,6/27/16
2016,5,281.1,145.5,848.4,201.2,6/27/16
2016,6,283.7,151.8,883.1,208.6,6/27/16
2016,7,333.8,178.3,941.3,222.6,6/27/16
2016,8,285.5,148.7,820.6,196.1,6/27/16
2016,9,221.7,111.9,812.6,191.8,6/27/16
2016,10,266.5,141.9,771.8,182.6,6/27/16
2016,11,243.8,127.7,732.9,173.7,6/27/16
2016,12,278.2,148.6,809.1,190.4,6/27/16
2016,13,295.4,163.8,1000,245.3,6/28/16
2016,14,250.4,140.8,859,212.6,6/28/16
2016,15,193.6,108,870.2,210.2,6/28/16
2016,16,230.8,130.4,838,207.2,6/28/16
