year,rep,biomass_grams
2008,1,48.81
2008,2,32.82
2008,3,27.94
2008,4,38
2008,5,52.68
2008,6,36.67
2008,7,34.19
2008,8,33.01
2008,9,16.91
2008,10,35.23
2008,11,25.98
2008,12,16.29
2008,13,30.76
2008,14,53.11
2008,15,37.29
2008,16,74.63
