year,rep,biomass_grams
2010,1,38.62
2010,2,40.09
2010,3,38.35
2010,4,18.89
2010,5,31.21
2010,6,15.63
2010,7,49.99
2010,8,27.66
2010,9,10.36
2010,10,35.67
2010,11,63.11
2010,12,36.97
2010,13,28.68
2010,14,67.22
2010,15,16.65
