year,rep,biomass_grams,Dry Mass in Bag,Bag Mass,Date
2015,1,65.88,98.76,32.88,6/17/15
2015,2,59.05,92.27,33.22,6/17/15
2015,11,82.17,115.03,32.86,6/17/15
2015,10,105.77,138.38,32.61,6/17/15
2015,4,111.1,144.05,32.95,6/17/15
2015,9B,29.31,61.85,32.54,6/17/15
2015,7,129.03,161.71,32.68,6/17/15
2015,8,59.08,91.7,32.62,6/17/15
2015,3,79.16,111.92,32.76,6/17/15
2015,9A,36.43,69.19,32.76,6/17/15
2015,5,44.72,77.74,33.02,6/17/15
2015,6,72.64,105.52,32.88,6/17/15
2015,12,99.91,132.57,32.66,6/17/15
2015,9,65.74,131.04,65.3,6/17/15
