year,rep,ch1,ch2,ch3,ch4
2012,1,390,203.9,1062.3,251.5
2012,2,330.5,175.3,826.9,193.9
2012,3,421.2,218.2,1062.6,255.7
2012,4,339.7,175,956.8,231.5
2012,5,191,103.6,659.9,155.1
2012,6,243.7,129.5,727.1,172.6
2012,7,306.4,164.8,741.6,175.4
2012,8,278.4,150.3,747.6,175.7
2012,9,367.7,196.9,1013,245.9
2012,10,352.2,186.5,849.4,203.2
2012,11,352.1,187.4,830.1,197.9
2012,12,312.3,166.4,1016.9,244
2012,13,268.5,143.5,826.3,193.8
2012,14,310,160,781.4,185.9
2012,15,268.5,142.2,711.6,168
