year,rep,ch1,ch2,ch3,ch4
2014,1,218.8,118,554.9,135.2
2014,2,183.9,98,495.5,120.9
2014,3,208.8,108,621.3,148.5
2014,4,220.2,116.2,537,129
2014,5,302.3,159.4,750.8,181
2014,6,330.3,175.4,798.7,191.2
2014,7,252.7,133.6,661.9,158.5
2014,8,244.1,127.4,709.8,170
2014,9,216,112.3,619.1,149.1
2014,10,311.2,167.2,784.3,188.5
2014,11,241.4,127.3,620.8,155.4
2014,12,291.2,156.5,680.1,167.7
2014,13,295.6,155.2,649,163.2
2014,14,265.5,142.8,579.5,142.8
2014,15,250.8,132.2,591.9,145.6
