year,rep,ch1,ch2,ch3,ch4
2013,1,117,58.3,487.8,129.9
2013,2,137.5,74.9,407.5,104.7
2013,3,77.8,41.9,351.6,89.2
2013,4,168,87.9,593.5,157.6
2013,5,159.2,81.6,712.3,182.1
2013,6,107.9,59,438.8,113.7
2013,7,164.8,86.7,524.4,133.4
2013,8,156.5,83.2,428.5,110.5
2013,9,131.3,69.5,505.1,125.6
2013,10,167.9,94,518.6,129.2
2013,11,150.6,78.6,577.6,143.4
2013,12,169.4,93.9,437.3,109.6
2013,13,150.8,80,615.6,153.2
2013,14,158.1,84.5,480,120.9
2013,15,157.5,84.4,519,129.7
