Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 5TM Moisture/Temp m³/m³ VWC	Port 2 5TM Moisture/Temp °C Temp	Port 3 5TM Moisture/Temp m³/m³ VWC	Port 3 5TM Moisture/Temp °C Temp	Port 4 5TM Moisture/Temp m³/m³ VWC	Port 4 5TM Moisture/Temp °C Temp	Port 5 EC-5 Soil Moisture m³/m³ VWC
09/15/14 06:00 PM	31.7	0.101	25.7	0.069	28.0	* * * 	* * * 	0.057
09/15/14 08:00 PM	22.0	0.098	24.1	0.066	25.2	* * * 	* * * 	0.057
09/15/14 10:00 PM	14.7	0.095	21.3	0.059	21.0	* * * 	* * * 	0.057
09/16/14 12:00 AM	13.2	0.094	19.3	0.056	18.7	* * * 	* * * 	0.057
09/16/14 02:00 AM	12.1	0.092	17.9	0.055	17.2	* * * 	* * * 	0.057
09/16/14 04:00 AM	10.9	0.091	16.9	0.055	16.1	* * * 	* * * 	0.057
09/16/14 06:00 AM	12.0	0.091	16.3	0.054	15.6	* * * 	* * * 	0.057
09/16/14 08:00 AM	12.4	0.090	16.1	0.061	15.5	* * * 	* * * 	0.057
09/16/14 10:00 AM	17.4	0.090	16.3	0.062	16.4	* * * 	* * * 	0.057
09/16/14 12:00 PM	22.4	0.091	18.2	0.063	19.3	* * * 	* * * 	0.057
09/16/14 02:00 PM	29.8	0.093	21.4	0.059	23.8	* * * 	* * * 	0.057
09/16/14 04:00 PM	33.9	0.095	24.8	0.060	28.4	* * * 	* * * 	0.057
09/16/14 06:00 PM	32.2	0.097	26.5	0.058	28.4	* * * 	* * * 	0.057
09/16/14 08:00 PM	24.9	0.094	25.1	0.062	25.7	* * * 	* * * 	0.057
09/16/14 10:00 PM	15.9	0.090	22.3	0.061	21.8	* * * 	* * * 	0.058
09/17/14 12:00 AM	13.7	0.088	20.2	0.059	19.4	* * * 	* * * 	0.058
09/17/14 02:00 AM	13.0	0.087	18.9	0.058	17.9	* * * 	* * * 	0.058
09/17/14 04:00 AM	11.2	0.086	17.8	0.057	16.8	* * * 	* * * 	0.058
09/17/14 06:00 AM	10.4	0.086	16.9	0.057	15.8	* * * 	* * * 	0.058
09/17/14 08:00 AM	10.3	0.085	16.2	0.057	15.1	* * * 	* * * 	0.057
09/17/14 10:00 AM	19.3	0.085	16.5	0.058	16.5	* * * 	* * * 	0.058
09/17/14 12:00 PM	28.4	0.087	20.1	0.062	22.7	* * * 	* * * 	0.057
09/17/14 02:00 PM	30.4	0.090	23.9	0.064	27.4	* * * 	* * * 	0.057
09/17/14 04:00 PM	32.2	0.092	25.5	0.065	28.6	* * * 	* * * 	0.058
09/17/14 06:00 PM	30.9	0.092	26.4	0.063	28.4	* * * 	* * * 	0.058
09/17/14 08:00 PM	25.3	0.089	25.1	0.061	26.3	* * * 	* * * 	0.059
09/17/14 10:00 PM	17.0	0.086	22.6	0.058	22.5	* * * 	* * * 	0.059
09/18/14 12:00 AM	16.5	0.084	20.7	0.057	20.3	* * * 	* * * 	0.059
09/18/14 02:00 AM	16.6	0.083	19.7	0.056	19.3	* * * 	* * * 	0.059
09/18/14 04:00 AM	16.2	0.083	19.0	0.056	18.6	* * * 	* * * 	0.059
09/18/14 06:00 AM	15.9	0.082	18.7	0.056	18.3	* * * 	* * * 	0.059
09/18/14 08:00 AM	13.8	0.082	18.3	0.056	17.8	* * * 	* * * 	0.059
09/18/14 10:00 AM	15.6	0.082	18.1	0.056	17.7	* * * 	* * * 	0.059
09/18/14 12:00 PM	22.0	0.082	19.4	0.057	20.1	* * * 	* * * 	0.059
09/18/14 02:00 PM	26.0	0.084	21.9	0.060	23.8	* * * 	* * * 	0.059
09/18/14 04:00 PM	29.2	0.086	23.9	0.062	26.2	* * * 	* * * 	0.059
09/18/14 06:00 PM	24.0	0.086	24.7	0.062	25.8	* * * 	* * * 	0.059
09/18/14 08:00 PM	19.1	0.084	23.1	0.060	23.4	* * * 	* * * 	0.059
09/18/14 10:00 PM	15.4	0.083	21.2	0.058	20.9	* * * 	* * * 	0.059
09/19/14 12:00 AM	13.3	0.082	19.8	0.057	19.2	* * * 	* * * 	0.059
09/19/14 02:00 AM	10.3	0.081	18.5	0.056	17.5	* * * 	* * * 	0.059
09/19/14 04:00 AM	8.7	0.080	17.2	0.055	16.1	* * * 	* * * 	0.059
09/19/14 06:00 AM	7.8	0.080	16.2	0.055	15.0	* * * 	* * * 	0.059
09/19/14 08:00 AM	7.5	0.079	15.4	0.054	14.1	* * * 	* * * 	0.059
09/19/14 10:00 AM	16.0	0.079	15.7	0.055	15.4	* * * 	* * * 	0.059
09/19/14 12:00 PM	21.7	0.082	19.0	0.059	21.1	* * * 	* * * 	0.059
09/19/14 02:00 PM	25.9	0.084	22.8	0.062	26.0	* * * 	* * * 	0.059
09/19/14 04:00 PM	28.7	0.087	24.7	0.064	27.9	* * * 	* * * 	0.059
09/19/14 06:00 PM	29.5	0.088	25.9	0.063	27.7	* * * 	* * * 	0.059
09/19/14 08:00 PM	22.1	0.086	24.3	0.060	25.0	* * * 	* * * 	0.059
09/19/14 10:00 PM	13.3	0.083	21.4	0.057	20.9	* * * 	* * * 	0.059
09/20/14 12:00 AM	11.3	0.081	19.4	0.055	18.6	* * * 	* * * 	0.059
09/20/14 02:00 AM	9.7	0.080	18.0	0.054	17.0	* * * 	* * * 	0.059
09/20/14 04:00 AM	8.5	0.079	16.9	0.054	15.8	* * * 	* * * 	0.059
09/20/14 06:00 AM	8.1	0.078	16.0	0.053	14.9	* * * 	* * * 	0.059
09/20/14 08:00 AM	7.5	0.078	15.3	0.053	14.0	* * * 	* * * 	0.059
09/20/14 10:00 AM	16.8	0.078	15.5	0.054	15.4	* * * 	* * * 	0.059
09/20/14 12:00 PM	23.8	0.080	19.1	0.058	21.6	* * * 	* * * 	0.059
09/20/14 02:00 PM	28.8	0.083	23.3	0.061	27.3	* * * 	* * * 	0.059
09/20/14 04:00 PM	31.3	0.086	25.5	0.062	29.2	* * * 	* * * 	0.059
