logger,plot,date_started,date_uploaded,period,tail,hours
EL5742,1,2014-09-15,2015-04-30,6,,
EL5740,2,2014-09-15,2015-04-30,6,,
EL5739,1_2_C,2014-09-15,2015-04-30,6,,
EM6843,7,2014-09-15,2015-04-30,6,,
EM20068,8,2014-09-15,2015-04-30,6,,
EM20085,7_8_C,2014-09-15,2015-04-30,6,,
EM20069,11,2014-09-15,2015-04-30,6,,
EM20086,12,2014-09-15,2015-04-30,6,,
EM20070,11_12_C,2014-09-15,2015-04-30,6,,
EM6845,15,2014-09-15,2015-04-30,6,,
EL5743,16,2014-09-15,2015-04-30,6,,
EM20067,15_16_C,2014-09-15,2015-04-30,6,,
