date,plot,wet_weight,dry_weight,bag_weight 
4/29/15,11,64.97,62.33,4.75
4/29/15,20,69.41,66.97,4.7
4/29/15,13,68.65,66.09,4.61
4/29/15,15,57.99,55.68,4.77
4/29/15,8,43.49,41.67,4.66
4/29/15,5,65.07,62.37,4.61
4/29/15,2,63.12,61.25,4.68
4/29/15,17,63.23,60.49,4.62
4/29/15,8,64.62,61.99,4.72
4/29/15,1.2.C,83.89,79.69,4.68
4/29/15,7.8.C,103.01,95.62,4.73
4/29/15,11.12.C,127.52,118.82,4.55
4/29/15,13.14.C,105.88,99.18,4.75
4/29/15,15.16.C,159.55,148.35,4.69
4/29/15,15.16.C.2,117.41,109.36,4.77
4/29/15,17.18.C,76.06,71.17,4.69
4/29/15,19.20.C,113.99,108.58,4.69
4/29/15,SC1,55.52,49.42,2.63
4/29/15,SC2,61.38,53.52,2.61
4/29/15,SC3,69,65.18,2.35
4/29/15,SC4,74.29,67.64,2.72
4/29/15,SC5,64.89,57.11,2.68
4/29/15,SC6,78.53,73.64,2.48
4/29/15,SC7,70.38,58.43,2.55
4/29/15,SC8,57.66,50.42,2.62
4/29/15,SC9,72.09,60.78,2.55
4/29/15,SC10,67.52,61.34,2.74
4/29/15,SC11,56.86,49.59,2.7
4/29/15,SC12,61.75,54.37,2.4
4/29/15,SC13,77.39,68.44,2.72
4/29/15,SC14,61.98,52.85,2.35
4/29/15,SC15,59.02,55.78,2.72
4/29/15,SC16,57.56,51.15,2.74
4/29/15,SC17,39.6,33.55,2.35
4/29/15,SC18,45.76,42.86,2.72
4/29/15,SC19,62.51,58.2,2.63
4/29/15,SC20,72.88,66.38,2.68
4/29/15,SC21,72.44,60.96,2.65
4/29/15,SC22,59.96,54.67,2.76
4/29/15,SC23,52.33,48.04,2.65
4/29/15,SC24,66.26,62.18,2.66
4/29/15,SC25,66.55,61.71,2.72
4/29/15,SC26,76.06,68.17,2.41
4/29/15,SC27,74.29,67.57,2.75
4/29/15,SC28,71.06,65.33,4.66
4/29/15,SC29,81.16,72.96,2.6
4/29/15,SC30,79.66,70.01,4.58
